Epoch,Training Set Accuracy, Generalization Set Accuracy,Training Set MSE, Generalization Set MSE
0,0,0,0.1232,0.121331
5,32.2583,34.65,0.079384,0.0814122
10,43.075,39.65,0.0633529,0.068412
15,47.4667,41.375,0.0556336,0.0610205
20,49.725,43.875,0.051383,0.0555948
25,51.7167,46.275,0.0489895,0.0532467
30,52.8833,46.275,0.0474432,0.0520899
35,55.125,50.65,0.0464639,0.0508767
40,57.7833,53.2,0.0458667,0.0495784
45,59.0667,55.025,0.0454653,0.0486843
50,59.975,56.125,0.0451664,0.0482812
55,60.6417,56.875,0.0449203,0.0480024
60,61.3417,57.325,0.0447564,0.0476379
65,61.8417,57.875,0.0446661,0.0475089
70,62.4167,58.125,0.0446132,0.0481386
75,62.8,58.525,0.0444797,0.0484864
80,63.0583,58.525,0.0443562,0.0487343
85,63.3583,58.6,0.0442371,0.0491215
90,63.5917,58.9,0.0441623,0.0493163
95,63.8667,59.25,0.0441256,0.0492791
100,64.2083,59.625,0.0441148,0.0492633
105,64.575,60.35,0.0440743,0.048977
110,64.7417,60.975,0.0440443,0.0485275
115,65.0333,61.5,0.0440123,0.0482383
120,65.2083,61.7,0.043962,0.0481843
125,65.175,61.775,0.0439142,0.0483936
130,65.3667,61.825,0.0438661,0.0489133
135,65.4833,61.675,0.0438539,0.0496837
140,65.75,61.4,0.0438697,0.0500144
145,65.9083,61.5,0.0438654,0.0500719
150,65.925,61.625,0.0438694,0.0500378

Training Complete!!! - > Elapsed Epochs: 150 Validation Set Accuracy: 61.375 Validation Set MSE: 0.0489106
